
"Service name";"Call Mode";"Contact Id";"Database";"Database date";"Contact phone";"Day";"Time";"Full date";"Observations";"Agent";"Agent's description";"Coordinators";"Contact situation";"Contact status";"Call attempt";"Dialing mode";"Callback date";"Hangup cause";"Last call direction";"Last call id";"Last call status";"Last call date";"Last call time";"Last call datetime";"Last call answer date";"Last call answer time";"Last call answer datetime";"Last call hangup date";"Last call hangup time";"Last call hangup datetime";"Result";"TIPOLOGÍA";"SUBTIPOLOGÍA";"Weight";"Record ids";"Call mode Group";"Phone 4";"Phone";"Nombre";"Móvil";"Phone 5";"Phone 3";"Field agent";"radio contacto";"radio SF";"yeeeees";"coconut";"depende";"radio SF";"Insert date";
"contactoJulia2.0";"predictiva2";"15376";"prueba";"2020-01-20";"";"2020-01-20";"09:31:58";"2020-01-20 09:31:58";"";"";"";"";"Touched";"Enabled";"0";"";"";"Not contacted";"";"0";"";"";"";"";"";"";"";"";"";"";"Touched";"";"";"";"";"";"";"662179631";"prueba";"661356388";"";"";"";"";"";"";"";"";"";"2020-01-20 09:31:58";
"contactoJulia2.0";"predictiva2";"15377";"prueba";"2020-01-20";"";"2020-01-20";"09:57:52";"2020-01-20 09:57:52";"";"";"";"";"Touched";"Enabled";"0";"";"";"Not contacted";"";"0";"";"";"";"";"";"";"";"";"";"";"Touched";"";"";"";"";"";"";"666555888";"prueba";"661356388";"";"";"";"";"";"";"";"";"";"2020-01-20 09:57:52";
"contactoJulia2.0";"predictiva2";"15378";"prueba";"2020-01-20";"";"2020-01-20";"10:11:00";"2020-01-20 10:11:00";"";"";"";"";"Touched";"Enabled";"0";"";"";"Not contacted";"";"0";"";"";"";"";"";"";"";"";"";"";"Touched";"";"";"";"";"";"";"666555888";"prueba";"661356388";"";"";"";"";"";"";"";"";"";"2020-01-20 10:11:00";
"contactoJulia2.0";"predictiva2";"15379";"prueba";"2020-01-20";"666555888";"2020-01-20";"10:43:58";"2020-01-20 10:43:58";"";"";"";"";"Touched";"Enabled";"1";"Predictive";"";"Normal Call Clearing";"O";"3887";"Unanswered";"2020-01-20";"10:43:28";"2020-01-20 10:43:28";"";"";"";"2020-01-20";"10:43:58";"2020-01-20 10:43:58";"Touched";"";"";"";"";"";"";"666555888";"prueba";"661356388";"";"";"";"";"";"";"";"";"";"2020-01-20 10:16:42";
"contactoJulia2.0";"predictiva2";"15408";"prueba";"2020-01-20";"661356388";"2020-01-21";"09:38:40";"2020-01-21 09:38:40";"";"";"";"";"Touched";"Enabled";"1";"Predictive";"";"Normal Call Clearing";"O";"3891";"Auto Attended";"2020-01-21";"09:38:08";"2020-01-21 09:38:08";"";"";"";"2020-01-21";"09:38:40";"2020-01-21 09:38:40";"Touched";"";"";"";"";"";"662179631";"666555888";"pruebas";"661356388";"659304420";"666333555";"";"";"";"";"";"";"";"2020-01-21 09:26:32";
"contactoJulia2.0";"predictiva2";"15409";"prueba";"2020-01-20";"661356388";"2020-01-21";"09:49:10";"2020-01-21 09:49:10";"";"agenteE";"Pepito";"coordiJulia";"Touched";"Enabled";"1";"Predictive";"";"Normal Call Clearing";"O";"3893";"Agent Unanswered";"2020-01-21";"09:48:39";"2020-01-21 09:48:39";"";"";"";"2020-01-21";"09:49:10";"2020-01-21 09:49:10";"Touched";"";"";"";"";"";"";"666555888";"pruebas";"661356388";"";"";"";"";"";"";"";"";"";"2020-01-21 09:40:27";
"contactoJulia2.0";"PD auto";"15230";"Por defecto (manualContacto) (manualContacto)";"2019-10-31";"630351609";"2020-01-17";"18:51:01";"2020-01-17 18:51:01";"";"admin";"";"";"Touched";"Enabled";"4";"Manual";"";"Normal Call Clearing";"O";"3885";"Cmplete";"2020-01-17";"18:50:27";"2020-01-17 18:50:27";"2020-01-17";"18:50:40";"2020-01-17 18:50:40";"2020-01-17";"18:51:01";"2020-01-17 18:51:01";"Touched";"";"";"";"1621";"";"";"630351609";"Default";"";"";"";"";"";"";"";"";"";"";"2020-01-03 13:48:26";
"contactoJulia2.0";"manualContacto";"15327";"Por defecto (manualContacto) (manualContacto)";"2019-10-31";"662179631";"2020-01-15";"09:29:11";"2020-01-15 09:29:11";"";"agenteE";"Pepito";"coordiJulia";"Touched";"Enabled";"1";"Manual";"";"Normal Call Clearing";"O";"3829";"Unanswered";"2020-01-15";"09:28:39";"2020-01-15 09:28:39";"";"";"";"2020-01-15";"09:29:11";"2020-01-15 09:29:11";"Touched";"";"";"";"";"";"";"662179631";"Default";"";"";"";"";"";"";"";"";"";"";"2020-01-15 09:28:39";
"contactoJulia2.0";"manualContacto";"15328";"Por defecto (manualContacto) (manualContacto)";"2019-10-31";"662179631";"2020-01-15";"09:32:35";"2020-01-15 09:32:35";"";"agenteE";"Pepito";"coordiJulia";"Touched";"Enabled";"1";"Manual";"";"Normal Call Clearing";"O";"3830";"Cmplete";"2020-01-15";"09:32:19";"2020-01-15 09:32:19";"2020-01-15";"09:32:31";"2020-01-15 09:32:31";"2020-01-15";"09:32:35";"2020-01-15 09:32:35";"Touched";"";"";"";"1574";"";"";"662179631";"Default";"";"";"";"";"";"";"";"";"";"";"2020-01-15 09:32:19";
"contactoJulia2.0";"manualContacto";"15329";"Por defecto (manualContacto) (manualContacto)";"2019-10-31";"662179631";"2020-01-15";"09:33:43";"2020-01-15 09:33:43";"";"agenteE";"Pepito";"coordiJulia";"Touched";"Enabled";"1";"Manual";"";"Normal Call Clearing";"O";"3831";"Cmplete";"2020-01-15";"09:32:53";"2020-01-15 09:32:53";"2020-01-15";"09:33:24";"2020-01-15 09:33:24";"2020-01-15";"09:33:43";"2020-01-15 09:33:43";"Touched";"";"";"";"1575";"";"";"662179631";"Default";"";"";"";"";"";"";"";"";"";"";"2020-01-15 09:32:53";
